Time,Image T MOD11,MODIS_x,Image T MOD21,MODIS_y
2021-06-04 11:49:31+08:00,4.110000000000014,MOD11_Terra,4.190000000000055,MOD21_Terra
2021-08-14 11:51:37+08:00,15.550000000000011,MOD11_Terra,20.19000000000005,MOD21_Terra
2024-06-09 13:55:00+08:00,13.490000000000007,MOD11_Aqua,3.490000000000009,MOD21_Aqua
2023-09-26 21:33:49+08:00,13.110000000000014,MOD11_Terra,13.29000000000002,MOD21_Terra
2021-06-03 02:26:20+08:00,1.990000000000009,MOD11_Aqua,2.5300000000000296,MOD21_Aqua
2021-07-10 02:40:04+08:00,5.170000000000016,MOD11_Aqua,5.57000000000005,MOD21_Aqua
2021-07-26 02:35:00+08:00,15.33000000000004,MOD11_Aqua,14.850000000000025,MOD21_Aqua
2021-07-28 02:30:14+08:00,14.83000000000004,MOD11_Aqua,14.990000000000007,MOD21_Aqua
2021-08-14 03:19:38+08:00,15.750000000000057,MOD11_Aqua,17.210000000000036,MOD21_Aqua
2022-06-06 02:11:50+08:00,2.010000000000048,MOD11_Aqua,1.0900000000000318,MOD21_Aqua
2022-08-08 02:57:48+08:00,13.690000000000056,MOD11_Aqua,9.77000000000004,MOD21_Aqua
2022-09-22 02:09:18+08:00,3.870000000000005,MOD11_Aqua,8.010000000000048,MOD21_Aqua
2023-07-16 02:23:42+08:00,7.170000000000016,MOD11_Aqua,9.410000000000023,MOD21_Aqua
2023-07-22 03:18:08+08:00,15.57000000000005,MOD11_Aqua,20.410000000000025,MOD21_Aqua
2023-09-19 03:32:24+08:00,13.410000000000023,MOD11_Aqua,10.930000000000009,MOD21_Aqua
2024-07-30 03:41:00+08:00,16.630000000000052,MOD11_Aqua,19.470000000000027,MOD21_Aqua
2024-09-21 03:25:00+08:00,8.750000000000057,MOD11_Aqua,7.930000000000007,MOD21_Aqua
2024-09-22 03:58:00+08:00,9.110000000000014,MOD11_Aqua,11.610000000000014,MOD21_Aqua
